name,location,will_split,wont_split
Cole Group,5291 Roxbury Center,469238,781999
Reichel and Sons,0871 Victoria Road,464635,768434
Kohler and Sons,5 Anthes Terrace,122197,633170
Wilkinson LLC,948 Ryan Pass,950128,22258
"Kling Reinger and Yost",486 Division Pass,60110,895308
"Bruen Emmerich and McCullough",6 New Castle Trail,343427,655753
"Murray Huel and Halvorson",6 Boyd Pass,299318,151956
"Parker Fay and Blick",07470 Lindbergh Center,747299,180931
Kutch LLC,65779 Buell Crossing,242737,611185
Aufderhar Inc,6 Northwestern Center,655852,145121
Sauer Inc,274 Gale Court,816563,210887
Murazik-Homenick,460 Burning Wood Crossing,9191,176208
Berge-Brakus,37 Chive Hill,726150,537143
"Zieme Terry and Klocko",875 Daystar Junction,726269,211379
"Nikolaus Rolfson and Dickinson",8 Swallow Drive,790473,205924
Jacobson Inc,74059 Reindahl Plaza,939229,206355
"Baumbach Homenick and Bosco",00 Dixon Crossing,412301,953014
Dietrich-Stroman,504 Di Loreto Hill,851828,5776
"King Rosenbaum and Kunde",2 7th Street,751424,869128
Glover Group,92792 Bashford Point,304819,528197
"Murray Steuber and Towne",17 Browning Crossing,809835,544209
Lehner and Sons,1 Lillian Hill,192205,367371
Wunsch-Nikolaus,74008 Clove Place,728832,204987
Kuhn-Bednar,55988 Basil Alley,487390,311356
"Davis Schinner and Huel",06 Swallow Trail,686580,495227
Pacocha-Stamm,2503 Tennyson Alley,608050,404040
Batz-Miller,4255 Sachs Circle,102953,152077
Sawayn Group,2 Granby Junction,580428,254607
Prohaska-Dickens,1568 Fisk Road,100282,479002
"Weimann Hickle and Doyle",8814 Del Mar Drive,539049,212631
Hand-Emard,96 Glendale Plaza,774433,168527
Kiehn and Sons,5153 Crowley Circle,608672,271215
Murazik-Hayes,7 Stone Corner Center,343788,656847
Ortiz-Farrell,19 Merrick Park,873759,458599
"Weissnat Kunde and Waelchi",2128 Dryden Trail,527219,149338
Mayert and Sons,05055 Dennis Alley,1385,56657
Bergnaum-McGlynn,70 Sheridan Trail,119538,346368
"Kohler Borer and Corkery",12905 Nobel Lane,280181,411420
Little-Collins,90 Summerview Junction,755020,51133
Dietrich-Kuhn,07 Maple Wood Hill,387831,154414
McLaughlin Group,71 Summit Drive,577873,541062
"Nicolas Trantow and Steuber",2579 Carpenter Court,563657,149789
"Gleichner Lehner and Stoltenberg",0927 Hooker Center,930018,857899
Keebler Inc,4 Clyde Gallagher Crossing,712172,306845
"Friesen Denesik and Keeling",026 Linden Parkway,465804,511672
Wisoky-Fadel,32728 Old Gate Plaza,191356,254947
"Abernathy O'Kon and Aufderhar",56804 Dottie Park,124965,395548
Okuneva Inc,57 School Way,367752,709476
"Kuhlman Weimann and Bins",6 Graedel Park,531979,938366
"Weimann Emmerich and Feeney",4 Loftsgordon Point,589862,778681
Wisozk LLC,17 Walton Junction,172232,95082
"Schulist Bailey and Aufderhar",0505 Golden Leaf Crossing,675179,96308
"Terry Sawayn and Volkman",252 Paget Drive,576082,424684
"Kreiger Reilly and Powlowski",0 Commercial Drive,381263,354023
"Nicolas McDermott and Kautzer",6631 Fairfield Street,497153,30245
Kub LLC,087 Manitowish Circle,691371,823119
Stokes and Sons,014 Manley Plaza,228040,522611
"McDermott Maggio and Grady",6 Stone Corner Drive,625793,130239
Farrell LLC,83012 Ilene Trail,277562,227112
"Shanahan Goldner and Corkery",96 Sloan Alley,397259,238234
Block and Sons,99041 Merchant Trail,846095,572186
"Schmidt Gerhold and Huel",9 Sauthoff Parkway,201466,802279
Schaefer-Jerde,8 Service Hill,892024,964577
"Cummerata Friesen and Gaylord",40774 Florence Parkway,473348,90772
Conn-Roob,50148 Riverside Alley,113601,887344
Jast and Sons,6 Lakeland Hill,552276,981657
Hegmann and Sons,132 Corry Plaza,496228,197273
"Braun Bode and Grimes",834 Eagan Hill,203787,397708
Lowe Inc,18979 Corry Trail,972697,896960
Larkin-Zemlak,929 Quincy Place,231516,8864
Dietrich Inc,3 Pankratz Alley,87823,781946
"Heathcote Tremblay and Haag",42939 Monterey Place,997291,605979
Bogan Inc,5 Rigney Court,618457,268459
"Kunde Waelchi and Witting",25 Esch Terrace,499881,521755
"Russel Hilpert and Mills",61 Anderson Road,858626,689640
Skiles Group,0427 Garrison Avenue,692025,401155
Osinski LLC,17 Gateway Place,370324,485271
Howell and Sons,47 La Follette Street,429184,933253
Little-Schultz,46111 Reinke Trail,314678,327530
Steuber Group,6 Rockefeller Park,323544,558633
"Nikolaus Sanford and Jacobson",34 Blaine Court,586151,684643
Greenfelder LLC,92306 Ridgeway Trail,846443,462847
Russel-Haag,5584 Texas Junction,522118,237240
"Lang Kautzer and Hilpert",03408 Dexter Lane,865235,33400
"Durgan Frami and Durgan",092 Marquette Plaza,774598,501785
"McKenzie Streich and Klein",863 Moulton Terrace,729773,782369
"Rippin Miller and Kutch",260 Prentice Avenue,495001,451681
"Littel Johnson and Thompson",23 Brown Trail,970132,568271
Ryan-Koss,08146 Fairview Way,379091,972043
Gulgowski-Quigley,1 Almo Crossing,256665,38167
Mante Group,2 Clove Park,374122,55728
Johns Group,353 Ronald Regan Hill,712769,989033
Wiegand-Zieme,6801 Valley Edge Crossing,446002,463276
Hessel and Sons,10850 Northwestern Center,1156,391376
"Schmeler Schowalter and Abernathy",42276 Westport Trail,796100,794047
Crist LLC,4257 Stephen Place,791669,318853
Orn-Hauck,4 Iowa Court,838224,728847
Ferry-Moore,542 Menomonie Pass,931797,741917
Hackett-Ziemann,226 Shasta Center,949820,282294
Durgan-Gleichner,637 Havey Trail,422091,358558
"Kuphal Casper and Grimes",4136 Annamark Way,488042,958661
Willms-Leuschke,1517 Gulseth Lane,180390,964378
West Group,0011 Cherokee Terrace,294096,542522
Leuschke Inc,6835 Manitowish Junction,665228,87111
"Roberts West and Pouros",734 Utah Way,504007,496826
Shanahan and Sons,16149 Dovetail Place,313750,497136
Osinski-Dach,92 Annamark Trail,332592,696422
"Oberbrunner Mueller and Carroll",1390 Cambridge Circle,348368,915633
Deckow-Kutch,451 Monica Street,960049,902850
"McGlynn Hyatt and Conroy",34 Commercial Hill,330852,538418
"Murazik Harvey and Terry",77 Forster Junction,577852,540829
"West Rempel and Hansen",8 Armistice Trail,718317,209421
"Rippin Dare and Predovic",729 Prentice Way,867203,689545
Hessel-Borer,10689 Morrow Park,676619,556187
"Carter Kris and Okuneva",1 Elgar Park,204588,193312
Kuhic-Friesen,791 Sage Plaza,172788,301167
O'Reilly-Sawayn,313 Vahlen Circle,958642,692579
Smith Inc,64602 Lakeland Crossing,799621,354556
Weissnat-Cassin,73679 Swallow Trail,283240,349478
Medhurst LLC,755 Harper Alley,205489,495449
"Davis Keeling and Trantow",2 Manley Place,942402,881813
Harvey Inc,2 Sutherland Crossing,769590,568187
Nolan Inc,7180 Declaration Court,371560,147747
"Wisozk Ledner and Jenkins",47348 Hanover Court,12950,676365
"Roberts Nikolaus and Pfannerstill",57465 American Circle,461224,87667
Pacocha Group,12 Mcbride Plaza,529724,809737
"Rath Rowe and Kub",411 Eastwood Place,692308,244015
Goodwin-Kiehn,17838 Pawling Way,427920,372842
McKenzie LLC,7361 Northridge Court,23067,847433
Kessler-Cassin,554 Cottonwood Street,728564,658611
Kozey LLC,343 High Crossing Lane,159270,541711
"Barton Streich and Feest",0717 Karstens Plaza,99804,283399
"West Volkman and Armstrong",3106 Towne Road,324762,457700
Orn-Berge,3450 Sundown Road,901688,766206
"Windler Langworth and Fay",252 Sommers Court,934523,810425
Murphy-Wolf,22 Manitowish Street,738215,999575
Oberbrunner-Hickle,22667 Elgar Street,445793,887453
"Koelpin Gerlach and Hartmann",2486 Harbort Point,142035,262301
Renner Inc,64828 Lake View Road,693859,685925
Daniel Group,00808 Prairie Rose Street,604544,426617
Simonis-Carroll,5 Beilfuss Road,616185,841742
Schneider LLC,99057 Manufacturers Park,42591,730741
"Parisian Stroman and Balistreri",33098 Schlimgen Court,466580,966475
Paucek Group,97 Gulseth Terrace,125284,262881
Herman and Sons,6 Pawling Plaza,811088,321834
"Rolfson Stoltenberg and Ziemann",73925 Ludington Parkway,759559,460280
"Greenfelder Hirthe and Feil",86499 Truax Alley,286197,102828
Altenwerth Inc,70 Arapahoe Place,139790,583608
"Weber Mraz and Dibbert",01 Alpine Circle,604685,131130
Balistreri Group,36270 Main Road,308119,219311
"Lakin Carroll and Macejkovic",74 Hovde Plaza,947521,722332
Boehm and Sons,7 Pepper Wood Point,627398,726566
"Bednar Ankunding and Hilll",190 Stuart Court,527692,133610
"Adams Bruen and Jacobi",324 Hansons Road,113975,957966
"Huel Fadel and Dach",4 Mccormick Pass,946550,306889
Waters LLC,515 Arapahoe Place,341039,280280
Schulist LLC,6337 Parkside Alley,94426,807396
Goodwin Group,1504 Miller Court,792060,359135
Gerlach Inc,3835 Heffernan Park,116817,667158
Cronin Inc,6384 Nobel Terrace,836579,97500
Schiller Group,5 Claremont Alley,932822,625039
Reinger-Roberts,5 Truax Crossing,492559,50002
Mills Inc,122 Wayridge Junction,93568,212716
Muller and Sons,8 Esch Trail,180505,647747
Lowe LLC,874 Farmco Crossing,723766,239806
Welch Inc,57475 Brown Crossing,947374,628460
"Graham Bruen and Klocko",32057 Bluejay Hill,874235,341493
Hills-Harvey,2031 Homewood Terrace,953263,761163
McGlynn-Feeney,5380 International Road,120714,175585
"Hodkiewicz Quigley and Borer",47172 Homewood Plaza,633283,202225
Howe Inc,5 Texas Avenue,470622,176374
Jenkins-Klocko,008 Derek Way,29097,678370
Dickinson LLC,58885 Melby Point,961614,606995
"Rice Yundt and Pollich",99656 Ilene Plaza,38033,463049
Pagac and Sons,685 Talmadge Place,833637,636817
Keeling-Hodkiewicz,29211 Badeau Trail,954668,509078
Greenfelder-Herman,26341 Lerdahl Circle,474441,327068
Larkin-Stoltenberg,13529 Dexter Street,339031,651366
Volkman-Smith,2 Lighthouse Bay Street,706062,376435
O'Hara Inc,1887 4th Hill,619659,673473
"Osinski Rogahn and Blick",6 Sheridan Place,56662,506753
"Hills Champlin and Mraz",4504 Dahle Court,274050,724808
O'Keefe Inc,4 Little Fleur Avenue,736152,638550
Greenfelder and Sons,8114 Old Gate Street,458033,838011
Wehner-Schaefer,704 Monterey Hill,708539,249187
Batz LLC,0625 Ridge Oak Plaza,790851,646840
McKenzie and Sons,9 Hoffman Place,581959,419245
"Buckridge Keeling and White",8 7th Junction,355978,678415
Jacobi-Purdy,00832 Moulton Hill,203907,105790
Pacocha Group,328 Butterfield Way,464186,732521
Leffler-Mraz,21 Briar Crest Place,233929,244418
Price Inc,8 Namekagon Street,405825,346127
Friesen-Torp,18 Brentwood Junction,737749,331739
McKenzie-Franecki,57821 Atwood Way,376659,522292
"Buckridge Christiansen and Keebler",4 Esch Parkway,586865,806752
"Ebert Johns and Orn",4 Hermina Center,666860,881170
Anderson Group,950 Dryden Junction,190140,446032
Wuckert-Cummerata,1 Del Sol Street,732527,643382
Ondricka Group,4 Hansons Park,519458,416792
McClure-Turner,061 Stoughton Terrace,657603,243911
"Pacocha Schinner and Lind",8 Michigan Parkway,453574,98968
"Wolf Kunze and Orn",03 Fairfield Terrace,559026,225007
"Abshire Tillman and Rippin",165 Bartelt Terrace,467695,320153
Cruickshank-Murray,5 Loftsgordon Crossing,62319,920835
Stamm and Sons,2 Schurz Court,800026,531784
Schiller Group,0 Monument Parkway,234823,509331
Herman-Wuckert,42279 Kedzie Road,243586,55496
Hammes Inc,779 Russell Avenue,330102,768547
"Schiller Armstrong and Armstrong",949 Del Mar Lane,863255,809405
"Halvorson Keeling and VonRueden",4 Kropf Park,712684,570110
Yundt Group,0 Iowa Center,864117,369260
Nikolaus-Gibson,895 School Trail,995471,323851
Haag and Sons,277 Glendale Crossing,846229,700376
Conn-Langosh,0358 Sutherland Junction,58253,247360
Jacobson-Windler,46306 Fair Oaks Trail,997216,252681
Terry and Sons,85 6th Junction,164137,679234
"Morissette Bahringer and Wehner",98 Del Sol Way,200502,457227
Johns Group,4377 Nancy Junction,868651,357924
Powlowski and Sons,7702 School Center,912877,44647
Skiles Inc,5941 Texas Street,955597,274337
"Abshire Sanford and O'Kon",3463 Knutson Court,63065,366874
Stehr-Luettgen,1 Hayes Center,525616,18928
Douglas Group,87 Lukken Junction,985178,797183
"Larkin Kuhic and Windler",08205 Vermont Center,570284,858207
"Bode Yost and Mayer",0 Helena Court,120556,614266
"Armstrong Wiegand and Crona",36598 Transport Parkway,107638,88813
Ruecker Inc,01 Elgar Point,905608,500235
"Mayert Miller and Graham",63 Shoshone Lane,137556,191666
Turner-Farrell,09 Bluejay Avenue,227839,668407
"Cronin Murazik and Osinski",761 West Drive,146639,272945
Mante Inc,65439 Gateway Parkway,954979,103044
Labadie LLC,5957 Golden Leaf Terrace,788866,948062
Terry LLC,73168 Vera Avenue,677565,997362
Willms-Quitzon,6778 Killdeer Junction,269795,133087
"Hintz Koss and Carter",04 Texas Hill,746487,739900
Pollich-MacGyver,0 Tennyson Street,198666,961295
"Stehr Hodkiewicz and McLaughlin",6926 Eliot Trail,823676,838366
Feeney-Stehr,03289 New Castle Circle,168967,304326
Borer and Sons,52 Daystar Park,339198,934522
"Graham Zieme and Dietrich",224 Sachs Point,371569,71788
Kihn Inc,15 Straubel Pass,428638,226696
Lemke-Mertz,83519 Cardinal Pass,382978,268444
"Gorczany Towne and Larson",54937 Hermina Hill,975039,976643
McGlynn LLC,83804 Russell Circle,693850,476843
Bins LLC,773 Charing Cross Parkway,420624,335600
Dicki-Howe,7 North Plaza,777178,128271
"Bergnaum Bayer and Nienow",9244 Superior Way,192400,860838
Dach Inc,16939 Vera Hill,506899,945655
Durgan-Gaylord,34519 Park Meadow Crossing,843754,918413
Barton Inc,9995 Straubel Court,545388,942912
"Pacocha Miller and Prosacco",7273 Dahle Center,336911,695156
Blanda-Mills,8570 Ramsey Lane,557334,688611
Kling Group,1622 Kingsford Park,923914,966496
"McCullough Walter and VonRueden",38795 Kingsford Road,4341,451879
Erdman Group,56 Northland Avenue,962131,560201
Legros Inc,04547 Miller Avenue,685701,998119
Bogisich Group,90 Dahle Place,645807,766398
Erdman-Rath,850 Farwell Hill,736787,655818
Raynor LLC,248 Graceland Street,172777,732077
Rodriguez-Boyle,66681 Doe Crossing Parkway,823981,28351
"Shanahan Reichel and Weissnat",025 6th Hill,113951,871812
Schulist Inc,25014 Eagan Pass,720490,789506
"Cummings Lesch and Jakubowski",0063 Ryan Park,168382,254576
Ryan-Hickle,123 Moland Alley,620009,318646
"Hirthe Prosacco and Hintz",8710 Meadow Vale Center,470593,743998
"Bartell Rippin and Frami",7650 Summit Crossing,256106,45013
"Pacocha Satterfield and Kilback",36 Schiller Lane,551920,554777
"Corkery Fisher and Hudson",7 Summerview Terrace,395210,4736
Borer Inc,68 Paget Point,106605,747099
Schultz LLC,5426 Donald Point,931452,592350
Rosenbaum-Murphy,163 Arkansas Terrace,535873,456434
Gleichner and Sons,3 Kings Park,800931,456083
White-Zulauf,4415 Buhler Place,309781,846140
"Harvey Kutch and Reinger",56691 Mifflin Pass,166869,900795
Dickens Inc,9581 Fuller Way,629110,801220
Stokes-McGlynn,52 Ilene Court,342374,621525
"Weimann Ondricka and Harris",405 Steensland Point,261617,444416
West Group,9601 Butternut Crossing,391996,676354
Morissette-Kerluke,98985 Center Terrace,533415,63544
"Renner Prosacco and Hilpert",53306 Reinke Park,956645,528592
Luettgen-Morissette,48 Grayhawk Parkway,759977,104850
Douglas-Kessler,71 Derek Way,682216,525738
"Hauck Emard and Feil",55435 Ridgeview Road,131508,22304
Smith-Grant,7602 Fulton Lane,446857,344844
